network,seed,hosts,vulns,model,filter,aggregation,num_paths,id_path,impact,exploit,score,risk,mod,path_time,source,target
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,37,5.873118720000001,3.8870427750000003,9.8,14.979144209789531,6.402996242849316,0.01,NONE@host-7,USER@host-0
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,38,5.873118720000001,3.8870427750000003,9.8,14.985378519573578,6.403419135949702,0.01,NONE@host-7,USER@host-9
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,39,5.873118720000001,3.8870427750000003,9.8,14.01548496161999,6.339426348637201,0.01,NONE@host-7,NONE@host-5
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,40,5.873118720000001,3.8870427750000003,9.8,14.780004878764988,6.389566043684022,0.01,NONE@host-3,USER@host-5
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,41,5.873118720000001,3.8870427750000003,9.8,14.780004878764988,6.389566043684022,0.01,NONE@host-3,USER@host-1
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,42,5.873118720000001,3.8870427750000003,9.8,12.795042511061688,6.264161723396152,0.01,NONE@host-3,USER@host-7
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,43,5.873118720000001,3.8870427750000003,9.8,12.795042511061688,6.264161723396152,0.01,NONE@host-3,USER@host-2
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,44,5.873118720000001,3.8870427750000003,9.8,3.7837512328236316,3.028474105639034,0.01,NONE@host-3,NONE@host-1
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,45,5.873118720000001,3.8870427750000003,9.8,14.872300508712378,6.395771730253407,0.01,NONE@host-3,USER@host-0
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,46,5.873118720000001,3.8870427750000003,9.8,15.003800515852404,6.404669623519272,0.01,NONE@host-3,USER@host-9
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,47,5.873118720000001,3.8870427750000003,9.8,9.6762114806148,4.491016817009249,0.01,NONE@host-3,NONE@host-7
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,48,5.873118720000001,3.8870427750000003,9.8,13.952863311811894,6.335420347674066,0.01,NONE@host-3,NONE@host-5
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,49,5.873118720000001,3.8870427750000003,9.8,14.8452043437041,6.393946483288535,0.03,ROOT@host-9,USER@host-5
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,50,5.873118720000001,3.8870427750000003,9.8,14.8452043437041,6.393946483288535,0.03,ROOT@host-9,USER@host-1
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,51,5.873118720000001,3.8870427750000003,9.8,13.047905981569231,6.2792651119619824,0.03,ROOT@host-9,USER@host-7
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,52,5.873118720000001,3.8870427750000003,9.8,0.0,2.8279781935664743,0.03,ROOT@host-9,NONE@host-3
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,53,5.873118720000001,3.8870427750000003,9.8,13.047905981569231,6.2792651119619824,0.03,ROOT@host-9,USER@host-2
