network,scan,step,filter,aggregation,model,aggregation_time
merged_f1_t370,merged,370,1,2,NETSPA,0.009633899986511096
merged_f1_t370,merged,370,1,2,TVA,0.009633899986511096
merged_f1_t370,merged,370,1,2,MULTI,0.009633899986511096
merged_f1_t370,merged,370,1,3,NETSPA,0.003850799985229969
merged_f1_t370,merged,370,1,3,TVA,0.003850799985229969
merged_f1_t370,merged,370,1,3,MULTI,0.003850799985229969
merged_f1_t380,merged,380,1,0,NETSPA,0
merged_f1_t380,merged,380,1,0,TVA,0
merged_f1_t380,merged,380,1,0,MULTI,0
merged_f1_t380,merged,380,1,1,NETSPA,0.005032500019297004
merged_f1_t380,merged,380,1,1,TVA,0.005032500019297004
merged_f1_t380,merged,380,1,1,MULTI,0.005032500019297004
merged_f1_t380,merged,380,1,2,NETSPA,0.010014999978011474
merged_f1_t380,merged,380,1,2,TVA,0.010014999978011474
merged_f1_t380,merged,380,1,2,MULTI,0.010014999978011474
merged_f1_t380,merged,380,1,3,NETSPA,0.006627599999774247
merged_f1_t380,merged,380,1,3,TVA,0.006627599999774247
merged_f1_t380,merged,380,1,3,MULTI,0.006627599999774247
merged_f1_t390,merged,390,1,0,NETSPA,0
merged_f1_t390,merged,390,1,0,TVA,0
merged_f1_t390,merged,390,1,0,MULTI,0
merged_f1_t390,merged,390,1,1,NETSPA,0.003199200000381097
merged_f1_t390,merged,390,1,1,TVA,0.003199200000381097
merged_f1_t390,merged,390,1,1,MULTI,0.003199200000381097
merged_f1_t390,merged,390,1,2,NETSPA,0.007130500016501173
merged_f1_t390,merged,390,1,2,TVA,0.007130500016501173
merged_f1_t390,merged,390,1,2,MULTI,0.007130500016501173
merged_f1_t390,merged,390,1,3,NETSPA,0.003441500011831522
merged_f1_t390,merged,390,1,3,TVA,0.003441500011831522
merged_f1_t390,merged,390,1,3,MULTI,0.003441500011831522
merged_f1_t40,merged,40,1,0,NETSPA,0
merged_f1_t40,merged,40,1,0,TVA,0
merged_f1_t40,merged,40,1,0,MULTI,0
